"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19","1,000.03","1,004.52","1,012.22","980.74","-","-0.45%"
"Nov 19","1,004.52","991.75","1,013.99","985.18","-","1.29%"
"Oct 19","991.75","989.99","1,003.89","944.39","-","0.18%"
"Sep 19","989.99","936.10","991.90","936.10","-","5.76%"
"Aug 19","936.10","914.47","947.18","875.07","-","2.37%"
"Jul 19","914.47","903.17","939.76","899.94","-","1.25%"
"Jun 19","903.17","878.16","917.63","870.48","-","2.85%"
"May 19","878.16","876.25","902.40","846.80","-","0.22%"
"Apr 19","876.25","845.17","884.38","845.17","-","3.68%"
"Mar 19","845.17","822.21","856.77","822.16","-","2.79%"
"Feb 19","822.21","833.35","842.47","800.54","-","-1.34%"
"Jan 19","833.35","748.87","836.78","738.49","-","11.28%"
"Dec 18","748.87","805.07","825.90","727.91","-","-6.98%"
"Nov 18","805.07","803.52","814.81","785.31","-","0.19%"
"Oct 18","803.52","866.61","876.95","773.93","-","-7.28%"
"Sep 18","866.61","874.49","881.73","852.45","-","-0.90%"
"Aug 18","874.49","845.13","884.54","828.20","-","3.47%"
"Jul 18","845.13","854.26","886.40","840.92","-","-1.07%"
"Jun 18","854.26","870.49","898.82","839.37","-","-1.86%"
"May 18","870.49","873.48","904.38","845.90","-","-0.34%"
"Apr 18","873.48","849.99","883.02","831.42","-","2.76%"
"Mar 18","849.99","854.61","865.92","807.99","-","-0.54%"
"Feb 18","854.61","845.32","862.44","802.92","-","1.10%"
"Jan 18","845.32","775.27","855.10","765.56","-","9.04%"
"Dec 17","775.27","773.55","797.68","758.05","-","0.22%"
"Nov 17","773.55","755.92","778.06","746.72","-","2.33%"
"Oct 17","755.92","757.51","782.34","747.00","-","-0.21%"
"Sep 17","757.51","737.61","772.57","736.24","-","2.70%"
"Aug 17","737.61","726.12","749.87","721.94","-","1.58%"
"Jul 17","726.12","729.38","765.29","719.10","-","-0.45%"
"Jun 17","729.38","736.35","770.30","724.82","-","-0.95%"
