"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19","569.53","563.49","572.38","547.34","-","1.07%"
"Nov 19","563.49","547.28","566.04","545.78","-","2.96%"
"Oct 19","547.28","538.87","552.42","511.91","-","1.56%"
"Sep 19","538.87","533.29","547.56","524.97","-","1.05%"
"Aug 19","533.29","510.62","535.32","489.18","-","4.44%"
"Jul 19","510.62","505.95","519.01","497.90","-","0.92%"
"Jun 19","505.95","465.29","506.94","462.45","-","8.74%"
"May 19","465.29","504.52","510.43","462.87","-","-7.78%"
"Apr 19","504.52","497.68","506.18","489.22","-","1.37%"
"Mar 19","497.68","504.15","521.25","486.36","-","-1.28%"
"Feb 19","504.15","497.37","509.46","493.46","-","1.36%"
"Jan 19","497.37","476.19","498.46","468.48","-","4.45%"
"Dec 18","476.19","511.24","522.00","462.03","-","-6.86%"
"Nov 18","511.24","521.87","534.71","498.38","-","-2.04%"
"Oct 18","521.87","558.80","568.72","499.52","-","-6.61%"
"Sep 18","558.80","560.66","564.33","535.57","-","-0.33%"
"Aug 18","560.66","582.14","593.58","542.10","-","-3.69%"
"Jul 18","582.14","565.78","591.98","560.54","-","2.89%"
"Jun 18","565.78","563.74","584.41","559.56","-","0.36%"
"May 18","563.74","551.87","577.70","549.81","-","2.15%"
"Apr 18","551.87","528.23","555.06","517.85","-","4.48%"
"Mar 18","528.23","541.29","548.06","508.83","-","-2.41%"
"Feb 18","541.29","583.08","586.86","524.37","-","-7.17%"
"Jan 18","583.08","571.16","595.06","565.12","-","2.09%"
"Dec 17","571.16","578.49","590.19","569.80","-","-1.27%"
"Nov 17","578.49","614.15","620.64","577.15","-","-5.81%"
"Oct 17","614.15","614.00","625.60","601.91","-","0.02%"
"Sep 17","614.00","597.36","616.11","597.36","-","2.79%"
"Aug 17","597.36","599.26","603.84","583.94","-","-0.32%"
"Jul 17","599.26","620.04","632.07","599.26","-","-3.35%"
"Jun 17","620.04","642.56","657.73","620.04","-","-3.50%"
"May 17","642.56","637.72","673.90","633.95","-","0.76%"
"Apr 17","637.72","621.35","642.98","611.68","-","2.63%"
"Mar 17","621.35","597.42","621.35","594.32","-","4.01%"
"Feb 17","597.42","566.09","599.69","566.02","-","5.53%"
"Jan 17","566.09","578.97","591.05","560.38","-","-2.22%"
"Dec 16","578.97","556.12","578.97","539.16","-","4.11%"
"Nov 16","556.12","537.27","576.19","529.26","-","3.51%"
"Oct 16","537.27","546.08","554.35","527.67","-","-1.61%"
"Sep 16","546.08","545.76","566.30","537.03","-","0.06%"
"Aug 16","545.76","576.13","582.89","537.96","-","-5.27%"
"Jul 16","576.13","567.27","589.08","553.56","-","1.56%"
"Jun 16","567.27","563.03","568.68","501.65","-","0.75%"
"May 16","563.03","542.77","565.71","524.26","-","3.73%"
"Apr 16","542.77","535.43","578.12","522.02","-","1.37%"
"Mar 16","535.43","544.05","563.03","523.02","-","-1.58%"
"Feb 16","544.05","564.40","568.68","499.10","-","-3.61%"
"Jan 16","564.40","584.51","584.51","529.12","-","-3.44%"
"Dec 15","584.51","620.76","623.72","557.10","-","-5.84%"
"Nov 15","620.76","636.35","647.69","594.04","-","-2.45%"
"Oct 15","636.35","577.04","636.43","563.93","-","10.28%"
"Sep 15","577.04","592.05","615.25","559.87","-","-2.54%"
"Aug 15","592.05","643.88","663.79","536.72","-","-8.05%"
"Jul 15","643.88","589.97","663.03","578.23","-","9.14%"
"Jun 15","589.97","602.55","623.14","571.08","-","-2.09%"
"May 15","602.55","601.56","622.33","580.62","-","0.16%"
"Apr 15","601.56","612.57","653.55","596.70","-","-1.80%"
"Mar 15","612.57","580.69","624.16","571.18","-","5.49%"
"Feb 15","580.69","550.34","580.69","539.16","-","5.51%"
"Jan 15","550.34","502.63","557.34","490.02","-","9.49%"
"Dec 14","502.63","510.10","515.73","468.43","-","-1.46%"
"Nov 14","510.10","485.16","510.39","477.27","-","5.14%"
"Oct 14","485.16","541.06","543.22","467.85","-","-10.33%"
"Sep 14","541.06","510.95","542.61","509.46","-","5.89%"
"Aug 14","510.95","484.63","511.41","470.95","-","5.43%"
"Jul 14","484.63","479.87","494.30","470.31","-","0.99%"
"Jun 14","479.87","481.19","492.29","477.27","-","-0.27%"
"May 14","481.19","479.02","484.08","470.58","-","0.45%"
"Apr 14","479.02","470.96","481.37","454.57","-","1.71%"
"Mar 14","470.96","472.21","476.16","445.32","-","-0.26%"
"Feb 14","472.21","458.96","473.51","441.58","-","2.89%"
"Jan 14","458.96","476.23","482.30","451.26","-","-3.63%"
"Dec 13","476.23","472.93","477.04","446.91","-","0.70%"
"Nov 13","472.93","466.67","478.50","458.92","-","1.34%"
"Oct 13","466.67","448.87","468.85","433.80","-","3.97%"
"Sep 13","448.87","442.13","458.00","436.17","-","1.52%"
"Aug 13","442.13","472.73","474.55","442.13","-","-6.47%"
"Jul 13","472.73","468.78","475.73","454.52","-","0.84%"
"Jun 13","468.78","478.31","481.18","447.17","-","-1.99%"
"May 13","478.31","481.86","501.25","471.29","-","-0.74%"
"Apr 13","481.86","470.77","491.15","458.79","-","2.36%"
"Mar 13","470.77","436.25","471.73","432.29","-","7.91%"
"Feb 13","436.25","425.10","439.22","400.56","-","2.62%"
"Jan 13","425.10","423.90","434.87","420.09","-","0.28%"
"Dec 12","423.90","413.01","429.99","412.41","-","2.64%"
"Nov 12","413.01","410.12","418.72","399.44","-","0.70%"
"Oct 12","410.12","407.38","423.00","404.39","-","0.67%"
"Sep 12","407.38","397.28","417.95","395.40","-","2.54%"
"Aug 12","397.28","405.04","413.17","393.29","-","-1.92%"
