"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19","807.12","814.34","821.29","793.13","-","-0.89%"
"Nov 19","814.34","774.96","824.09","774.96","-","5.08%"
"Oct 19","774.96","757.19","782.25","726.14","-","2.35%"
"Sep 19","757.19","741.97","770.52","732.60","-","2.05%"
"Aug 19","741.97","755.64","756.31","696.55","-","-1.81%"
"Jul 19","755.64","760.52","779.94","745.82","-","-0.64%"
"Jun 19","760.52","712.37","768.13","703.53","-","6.76%"
"May 19","712.37","759.09","759.09","705.50","-","-6.15%"
"Apr 19","759.09","709.58","761.30","709.58","-","6.98%"
"Mar 19","709.58","698.00","722.85","687.48","-","1.66%"
"Feb 19","698.00","666.12","701.85","645.82","-","4.79%"
"Jan 19","666.12","624.86","676.27","608.92","-","6.60%"
"Dec 18","624.86","671.81","685.57","606.90","-","-6.99%"
"Nov 18","671.81","689.43","700.14","647.32","-","-2.56%"
"Oct 18","689.43","748.82","750.67","661.29","-","-7.93%"
"Sep 18","748.82","750.25","756.92","727.80","-","-0.19%"
"Aug 18","750.25","756.14","762.37","727.27","-","-0.78%"
"Jul 18","756.14","723.63","764.52","711.24","-","4.49%"
"Jun 18","723.63","727.74","763.24","703.48","-","-0.56%"
"May 18","727.74","718.39","755.04","716.85","-","1.30%"
"Apr 18","718.39","691.68","722.41","673.87","-","3.86%"
"Mar 18","691.68","717.03","718.53","674.08","-","-3.54%"
"Feb 18","717.03","744.53","746.44","677.95","-","-3.69%"
"Jan 18","744.53","710.64","759.22","703.79","-","4.77%"
"Dec 17","710.64","713.72","727.11","703.40","-","-0.43%"
"Nov 17","713.72","728.01","737.10","699.15","-","-1.96%"
"Oct 17","728.01","703.45","728.76","700.58","-","3.49%"
"Sep 17","703.45","662.79","703.45","662.23","-","6.13%"
"Aug 17","662.79","660.67","675.99","647.10","-","0.32%"
"Jul 17","660.67","670.73","690.80","660.25","-","-1.50%"
"Jun 17","670.73","682.08","700.35","669.63","-","-1.66%"
"May 17","682.08","685.26","696.64","670.07","-","-0.46%"
"Apr 17","685.26","659.78","689.25","652.02","-","3.86%"
"Mar 17","659.78","634.16","659.78","631.52","-","4.04%"
"Feb 17","634.16","611.12","639.22","611.12","-","3.77%"
"Jan 17","611.12","615.28","631.41","611.12","-","-0.68%"
"Dec 16","615.28","582.74","617.01","571.31","-","5.58%"
"Nov 16","582.74","568.45","585.76","545.08","-","2.51%"
"Oct 16","568.45","574.49","583.37","560.73","-","-1.05%"
