"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19","208.70","206.07","210.90","196.47","-","1.27%"
"Sep 19","206.08","203.51","206.89","196.68","-","1.59%"
"Aug 19","202.85","197.38","203.52","191.21","-","2.76%"
"Jul 19","197.41","194.40","200.32","190.20","-","1.54%"
"Jun 19","194.42","184.08","198.22","183.00","-","5.75%"
"May 19","183.85","187.27","189.83","180.98","-","-1.85%"
"Apr 19","187.31","192.20","193.79","181.17","-","-2.47%"
"Mar 19","192.05","186.44","192.63","186.44","-","3.01%"
"Feb 19","186.43","177.86","187.38","177.01","-","5.05%"
"Jan 19","177.46","171.46","178.32","169.86","-","3.50%"
"Dec 18","171.46","183.04","185.86","166.13","-","-6.33%"
"Nov 18","183.05","179.44","185.30","176.59","-","2.08%"
"Oct 18","179.32","183.75","186.08","171.06","-","-2.38%"
"Sep 18","183.70","183.35","185.28","177.75","-","0.14%"
"Aug 18","183.45","185.24","187.73","181.33","-","-0.93%"
"Jul 18","185.17","174.17","186.69","172.46","-","6.27%"
"Jun 18","174.24","172.88","176.49","170.43","-","0.73%"
"May 18","172.98","169.05","176.86","169.05","-","2.32%"
"Apr 18","169.05","165.53","169.44","162.69","-","2.21%"
"Mar 18","165.39","166.62","168.48","158.96","-","-1.02%"
"Feb 18","167.10","176.38","176.72","162.18","-","-5.13%"
"Jan 18","176.14","176.52","181.73","174.99","-","-0.28%"
"Dec 17","176.64","176.51","178.89","173.70","-","0.10%"
"Nov 17","176.46","180.13","181.98","172.78","-","-2.09%"
"Oct 17","180.23","184.07","187.40","177.17","-","-1.89%"
"Sep 17","183.70","178.13","184.31","176.90","-","3.25%"
"Aug 17","177.92","178.71","179.38","173.75","-","-0.67%"
"Jul 17","179.12","187.24","188.36","177.73","-","-4.45%"
"Jun 17","187.47","194.15","198.38","187.08","-","-3.58%"
"May 17","194.44","188.46","197.66","188.00","-","3.11%"
"Apr 17","188.58","186.87","189.55","183.16","-","1.31%"
"Mar 17","186.15","184.58","187.61","181.78","-","0.88%"
"Feb 17","184.52","174.46","185.64","172.97","-","6.08%"
"Jan 17","173.95","175.68","179.84","170.36","-","-0.97%"
"Dec 16","175.65","167.20","176.04","162.40","-","5.22%"
"Nov 16","166.94","165.89","173.50","160.16","-","0.74%"
"Oct 16","165.72","175.50","177.54","165.29","-","-5.80%"
"Sep 16","175.92","178.68","182.58","174.16","-","-1.50%"
"Aug 16","178.59","188.79","189.99","177.65","-","-5.39%"
"Jul 16","188.76","183.92","189.51","181.24","-","2.52%"
"Jun 16","184.12","181.84","184.12","164.86","-","1.23%"
"May 16","181.88","176.55","183.66","170.43","-","2.79%"
"Apr 16","176.95","172.39","184.54","168.45","-","2.33%"
"Mar 16","172.92","176.77","180.92","170.18","-","-2.28%"
"Feb 16","176.95","186.51","187.33","164.03","-","-4.55%"
"Jan 16","185.39","198.29","198.29","177.87","-","-6.79%"
"Dec 15","198.90","204.16","205.98","187.87","-","-2.53%"
"Nov 15","204.07","200.29","205.15","194.32","-","1.61%"
"Oct 15","200.84","190.89","202.08","185.76","-","5.65%"
"Sep 15","190.10","196.58","201.86","184.42","-","-4.18%"
"Aug 15","198.39","216.40","219.72","180.22","-","-8.03%"
"Jul 15","215.71","201.45","221.55","200.12","-","7.33%"
"Jun 15","200.97","211.56","214.69","197.92","-","-4.84%"
"May 15","211.19","208.82","216.87","200.40","-","1.02%"
"Apr 15","209.06","211.79","223.70","206.64","-","-1.48%"
"Mar 15","212.20","202.93","216.53","200.20","-","4.31%"
"Feb 15","203.43","193.47","204.06","190.67","-","4.76%"
"Jan 15","194.18","176.52","204.14","175.07","-","10.00%"
"Dec 14","176.52","182.24","183.98","168.70","-","-3.23%"
"Nov 14","182.42","175.47","182.58","172.95","-","4.03%"
"Oct 14","175.35","180.86","181.60","158.08","-","-3.09%"
"Sep 14","180.94","171.72","181.36","171.72","-","5.50%"
"Aug 14","171.50","165.86","171.79","158.62","-","3.30%"
"Jul 14","166.02","167.07","170.01","164.85","-","-0.63%"
"Jun 14","167.07","163.63","169.98","163.49","-","2.05%"
"May 14","163.72","161.23","165.09","160.16","-","1.26%"
"Apr 14","161.69","157.83","162.20","150.60","-","2.52%"
"Mar 14","157.71","161.71","161.71","153.04","-","-2.69%"
"Feb 14","162.07","152.63","162.92","150.16","-","6.20%"
"Jan 14","152.61","151.43","156.60","148.86","-","0.78%"
"Dec 13","151.43","150.54","151.50","143.18","-","0.64%"
"Nov 13","150.47","146.75","151.51","146.14","-","2.63%"
"Oct 13","146.62","142.70","147.09","136.85","-","2.80%"
"Sep 13","142.62","139.72","143.70","139.12","-","2.28%"
"Aug 13","139.44","141.29","144.48","139.38","-","-1.24%"
"Jul 13","141.19","139.45","144.46","137.94","-","1.32%"
"Jun 13","139.35","141.76","142.31","132.26","-","-2.42%"
"May 13","142.81","142.40","149.26","141.18","-","0.25%"
"Apr 13","142.46","138.72","143.71","135.81","-","2.70%"
"Mar 13","138.71","131.19","138.96","130.84","-","5.46%"
"Feb 13","131.53","127.75","131.65","126.51","-","2.81%"
"Jan 13","127.94","123.66","129.23","123.66","-","3.46%"
"Dec 12","123.66","122.35","126.59","122.30","-","1.14%"
"Nov 12","122.27","121.30","123.35","118.18","-","0.78%"
"Oct 12","121.32","122.30","125.42","121.31","-","-0.74%"
"Sep 12","122.23","120.27","124.08","119.58","-","1.48%"
"Aug 12","120.45","122.38","125.07","120.15","-","-1.47%"
"Jul 12","122.25","114.04","122.92","114.04","-","7.18%"
"Jun 12","114.06","108.22","114.22","105.30","-","5.48%"
"May 12","108.13","110.72","112.30","106.41","-","-2.32%"
"Apr 12","110.70","108.39","112.22","106.99","-","2.25%"
"Mar 12","108.26","107.43","110.78","107.11","-","0.72%"
"Feb 12","107.49","107.52","110.73","107.12","-","0.12%"
"Jan 12","107.36","108.19","110.98","106.27","-","-0.76%"
"Dec 11","108.18","100.41","108.18","100.04","-","7.28%"
"Nov 11","100.84","99.24","100.88","93.39","-","1.05%"
"Oct 11","99.79","97.59","100.65","94.93","-","2.40%"
"Sep 11","97.45","97.40","99.01","90.71","-","0.32%"
"Aug 11","97.14","104.19","104.85","87.81","-","-6.86%"
"Jul 11","104.29","101.66","106.13","101.33","-","2.42%"
"Jun 11","101.83","105.11","105.48","99.30","-","-3.39%"
"May 11","105.40","99.89","105.41","99.53","-","5.72%"
"Apr 11","99.70","94.91","99.92","94.36","-","5.82%"
"Mar 11","94.22","99.00","99.32","91.24","-","-4.40%"
"Feb 11","98.56","96.61","99.89","96.21","-","2.26%"
"Jan 11","96.38","98.48","100.53","96.02","-","-1.69%"
"Dec 10","98.04","96.00","100.37","95.69","-","2.30%"
"Nov 10","95.84","95.29","97.86","95.00","-","0.44%"
"Oct 10","95.42","94.85","97.97","93.49","-","0.64%"
"Sep 10","94.81","94.62","98.97","94.57","-","0.38%"
"Aug 10","94.45","89.41","94.99","89.41","-","5.90%"
"Jul 10","89.19","94.07","96.01","88.84","-","-5.49%"
"Jun 10","94.37","90.93","96.23","89.96","-","3.70%"
"May 10","91.00","93.52","94.39","86.18","-","-2.75%"
"Apr 10","93.57","95.99","97.25","93.13","-","-2.12%"
"Mar 10","95.60","94.06","97.34","94.06","-","1.90%"
"Feb 10","93.82","92.89","96.09","90.66","-","0.45%"
"Jan 10","93.40","93.69","97.58","92.14","-","-0.31%"
"Dec 09","93.69","87.57","94.57","87.57","-","7.10%"
"Nov 09","87.48","85.74","89.76","84.02","-","1.97%"
"Oct 09","85.79","85.83","87.21","84.03","-","0.01%"
"Sep 09","85.78","84.12","86.89","82.30","-","2.19%"
"Aug 09","83.94","83.08","85.02","81.34","-","1.28%"
"Jul 09","82.88","76.00","83.58","74.29","-","9.10%"
"Jun 09","75.97","75.30","79.33","74.45","-","1.23%"
"May 09","75.05","73.21","76.51","72.47","-","2.08%"
"Apr 09","73.52","73.34","74.99","69.88","-","0.26%"
"Mar 09","73.33","71.99","73.33","67.51","-","1.35%"
"Feb 09","72.35","81.60","82.75","70.82","-","-11.63%"
"Jan 09","81.87","81.92","86.52","80.06","-","-0.06%"
"Dec 08","81.92","82.89","85.00","78.69","-","-1.15%"
"Nov 08","82.87","91.26","93.18","75.24","-","-8.76%"
"Oct 08","90.83","89.94","93.28","73.92","-","1.25%"
"Sep 08","89.71","93.54","94.95","86.58","-","-4.20%"
"Aug 08","93.64","91.34","94.55","90.47","-","2.46%"
"Jul 08","91.39","87.99","92.78","86.83","-","3.91%"
"Jun 08","87.95","88.82","89.72","84.20","-","-0.57%"
"May 08","88.45","87.98","90.44","86.02","-","0.56%"
"Apr 08","87.96","86.67","90.32","82.80","-","1.61%"
"Mar 08","86.57","90.36","91.29","82.51","-","-5.04%"
"Feb 08","91.16","94.60","95.43","90.13","-","-3.39%"
"Jan 08","94.36","100.50","106.54","92.56","-","-6.35%"
"Dec 07","100.76","105.12","105.73","100.09","-","-4.19%"
"Nov 07","105.17","101.91","105.48","96.25","-","2.69%"
"Oct 07","102.42","105.18","108.01","100.59","-","-2.65%"
"Sep 07","105.21","106.45","108.06","104.82","-","-1.16%"
"Aug 07","106.45","107.34","109.80","101.66","-","-1.09%"
"Jul 07","107.62","110.73","111.77","105.65","-","-2.97%"
"Jun 07","110.91","113.95","114.29","108.37","-","-2.63%"
"May 07","113.90","115.68","117.33","112.62","-","-1.67%"
"Apr 07","115.84","113.34","118.95","112.01","-","2.32%"
"Mar 07","113.21","113.88","115.82","110.89","-","-0.68%"
"Feb 07","113.98","116.78","120.82","112.62","-","-2.20%"
"Jan 07","116.54","113.53","120.20","113.38","-","2.79%"
"Dec 06","113.38","113.28","115.73","111.46","-","0.22%"
"Nov 06","113.13","117.09","119.36","112.05","-","-3.54%"
"Oct 06","117.28","118.13","122.81","117.16","-","-0.55%"
"Sep 06","117.93","120.02","120.19","116.05","-","-1.29%"
"Aug 06","119.47","117.33","120.10","113.85","-","1.71%"
"Jul 06","117.46","115.08","119.69","113.54","-","2.07%"
"Jun 06","115.08","111.69","115.20","109.41","-","3.04%"
"May 06","111.69","115.48","116.62","110.06","-","-3.20%"
"Apr 06","115.38","114.72","115.87","112.90","-","0.59%"
"Mar 06","114.70","110.30","117.26","110.30","-","3.93%"
"Feb 06","110.36","112.32","113.47","110.14","-","-1.64%"
"Jan 06","112.20","111.56","114.21","110.09","-","0.58%"
"Dec 05","111.55","108.78","112.47","108.78","-","2.75%"
"Nov 05","108.56","107.62","111.93","106.68","-","0.83%"
"Oct 05","107.67","106.37","108.52","104.80","-","1.63%"
"Sep 05","105.94","101.54","105.96","101.34","-","4.53%"
"Aug 05","101.35","101.73","103.72","99.28","-","-0.45%"
"Jul 05","101.81","98.78","102.60","96.11","-","2.87%"
"Jun 05","98.97","99.92","101.41","98.02","-","-0.83%"
"May 05","99.80","94.99","100.21","94.79","-","5.10%"
"Apr 05","94.96","88.69","95.37","88.14","-","7.07%"
"Mar 05","88.69","88.98","91.81","87.62","-","-0.30%"
