"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19","257.05","248.98","259.07","236.70","-","3.25%"
"Sep 19","248.97","241.41","252.49","239.99","-","3.19%"
"Aug 19","241.28","243.96","245.86","227.12","-","-1.34%"
"Jul 19","244.55","245.33","251.28","240.49","-","-0.07%"
"Jun 19","244.72","230.12","247.28","227.45","-","6.35%"
"May 19","230.10","248.15","248.43","228.36","-","-7.29%"
"Apr 19","248.19","232.74","248.98","232.74","-","6.75%"
"Mar 19","232.49","230.95","237.30","226.34","-","0.68%"
"Feb 19","230.92","219.51","232.88","217.82","-","5.31%"
"Jan 19","219.27","205.00","221.80","200.17","-","6.96%"
"Dec 18","205.00","219.62","223.05","198.78","-","-6.14%"
"Nov 18","218.41","220.71","225.25","210.05","-","-1.05%"
"Oct 18","220.73","241.48","242.14","211.95","-","-8.62%"
"Sep 18","241.54","242.46","243.81","236.45","-","-0.54%"
"Aug 18","242.85","244.02","245.30","236.78","-","-0.44%"
"Jul 18","243.92","234.76","245.01","232.46","-","3.36%"
"Jun 18","235.98","239.97","248.53","230.41","-","-1.63%"
"May 18","239.89","235.33","248.57","235.27","-","1.92%"
"Apr 18","235.38","230.47","238.35","223.86","-","2.14%"
"Mar 18","230.45","236.36","237.58","224.75","-","-2.68%"
"Feb 18","236.80","247.21","248.02","226.97","-","-4.17%"
"Jan 18","247.11","241.04","252.46","239.48","-","2.54%"
"Dec 17","240.98","241.04","244.30","237.87","-","-0.05%"
"Nov 17","241.11","249.50","251.35","236.39","-","-3.34%"
"Oct 17","249.43","241.34","249.61","240.44","-","3.44%"
"Sep 17","241.13","228.98","241.22","228.48","-","5.62%"
"Aug 17","228.31","229.23","232.34","222.39","-","-0.29%"
"Jul 17","228.97","234.98","239.19","228.62","-","-2.27%"
"Jun 17","234.29","238.72","244.56","233.40","-","-1.94%"
"May 17","238.93","239.92","244.03","234.64","-","-0.45%"
"Apr 17","240.00","231.47","240.92","229.13","-","3.91%"
"Mar 17","230.97","223.33","231.21","222.51","-","3.73%"
"Feb 17","222.67","215.04","224.24","215.04","-","3.85%"
"Jan 17","214.42","212.96","219.53","212.63","-","0.66%"
"Dec 16","213.01","204.09","213.67","200.59","-","4.49%"
"Nov 16","203.85","199.93","204.43","190.25","-","2.26%"
"Oct 16","199.35","203.17","206.23","197.60","-","-2.00%"
"Sep 16","203.41","204.22","209.07","199.57","-","-0.25%"
"Aug 16","203.93","198.09","206.04","193.63","-","2.90%"
"Jul 16","198.18","188.40","200.02","180.23","-","5.33%"
"Jun 16","188.16","199.41","200.67","175.49","-","-5.76%"
"May 16","199.67","195.24","200.68","189.93","-","2.15%"
"Apr 16","195.47","194.88","200.58","187.16","-","0.29%"
"Mar 16","194.90","187.85","197.91","186.87","-","3.76%"
"Feb 16","187.84","187.97","188.53","167.22","-","0.19%"
"Jan 16","187.49","196.71","196.71","174.10","-","-4.69%"
"Dec 15","196.71","211.48","211.80","190.51","-","-6.77%"
"Nov 15","211.00","199.39","211.26","196.21","-","5.45%"
"Oct 15","200.09","185.11","200.78","183.14","-","8.24%"
"Sep 15","184.86","195.25","198.49","178.54","-","-5.91%"
"Aug 15","196.47","211.79","215.72","181.19","-","-6.99%"
"Jul 15","211.23","204.17","216.04","196.27","-","3.93%"
"Jun 15","203.24","216.22","217.62","201.95","-","-5.92%"
"May 15","216.02","214.46","222.02","206.17","-","0.66%"
"Apr 15","214.61","216.71","224.88","212.28","-","-1.10%"
"Mar 15","216.99","213.57","220.82","209.46","-","1.54%"
"Feb 15","213.69","197.29","213.71","196.18","-","8.14%"
"Jan 15","197.61","184.62","202.57","178.88","-","7.04%"
"Dec 14","184.62","184.73","187.13","171.57","-","-0.09%"
"Nov 14","184.79","179.70","186.73","176.48","-","2.93%"
"Oct 14","179.53","182.28","183.22","159.43","-","-1.55%"
"Sep 14","182.36","184.70","188.17","179.74","-","-1.13%"
"Aug 14","184.44","181.05","186.31","173.00","-","1.79%"
"Jul 14","181.20","188.00","190.49","180.96","-","-3.62%"
"Jun 14","188.00","191.84","195.41","186.24","-","-1.88%"
"May 14","191.61","189.27","192.87","186.59","-","1.26%"
"Apr 14","189.23","191.02","194.73","183.81","-","-0.72%"
"Mar 14","190.61","188.85","191.68","180.35","-","0.09%"
"Feb 14","190.43","184.13","190.88","179.48","-","3.40%"
"Jan 14","184.16","188.04","194.32","181.24","-","-2.06%"
"Dec 13","188.04","185.13","188.20","176.02","-","1.79%"
"Nov 13","184.73","182.67","185.96","180.54","-","1.15%"
"Oct 13","182.63","178.53","182.63","173.55","-","2.62%"
"Sep 13","177.96","168.47","181.27","168.47","-","6.16%"
"Aug 13","167.64","168.92","173.61","166.35","-","-0.63%"
"Jul 13","168.71","159.13","170.36","158.14","-","6.56%"
"Jun 13","158.32","167.57","168.42","153.51","-","-5.60%"
"May 13","167.71","162.06","171.60","160.33","-","3.45%"
"Apr 13","162.12","165.54","167.41","155.49","-","-2.04%"
"Mar 13","165.50","162.80","168.45","161.62","-","1.57%"
"Feb 13","162.94","156.85","163.01","155.46","-","3.84%"
"Jan 13","156.92","153.97","159.38","153.97","-","1.92%"
"Dec 12","153.97","151.28","155.28","151.01","-","2.02%"
"Nov 12","150.92","144.94","151.72","142.49","-","3.93%"
"Oct 12","145.21","143.90","148.67","142.31","-","0.88%"
"Sep 12","143.95","141.83","149.85","140.43","-","1.22%"
"Aug 12","142.22","139.87","147.59","138.31","-","1.82%"
"Jul 12","139.68","133.90","141.78","133.39","-","4.51%"
"Jun 12","133.65","130.49","133.73","125.67","-","2.73%"
"May 12","130.10","140.48","142.32","127.64","-","-7.39%"
"Apr 12","140.48","144.61","146.80","136.21","-","-2.69%"
"Mar 12","144.36","144.92","150.40","139.05","-","-0.50%"
"Feb 12","145.09","138.16","146.92","138.05","-","5.15%"
"Jan 12","137.99","129.99","140.73","129.99","-","6.11%"
"Dec 11","130.04","127.84","130.22","121.18","-","1.65%"
"Nov 11","127.93","126.17","130.00","113.36","-","-1.07%"
"Oct 11","129.31","115.64","135.03","110.36","-","9.57%"
"Sep 11","118.02","129.73","130.14","110.36","-","-8.83%"
"Aug 11","129.45","147.13","148.09","114.90","-","-11.29%"
"Jul 11","145.92","155.08","156.98","144.02","-","-5.88%"
"Jun 11","155.04","160.15","160.30","147.70","-","-3.09%"
"May 11","159.99","163.62","163.93","154.98","-","-1.93%"
"Apr 11","163.14","160.06","163.30","153.92","-","2.36%"
"Mar 11","159.38","161.39","162.87","145.95","-","-0.98%"
"Feb 11","160.96","159.36","162.58","154.53","-","1.55%"
