"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 19","1,718.10","1,698.90","1,733.79","1,696.41","-","1.34%"
"Oct 19","1,695.38","1,642.46","1,709.40","1,579.97","-","3.08%"
"Sep 19","1,644.80","1,601.84","1,667.51","1,588.47","-","2.63%"
"Aug 19","1,602.62","1,630.43","1,649.67","1,544.68","-","-2.82%"
"Jul 19","1,649.17","1,681.82","1,703.40","1,638.16","-","-1.99%"
"Jun 19","1,682.62","1,574.08","1,686.05","1,568.64","-","6.54%"
"May 19","1,579.26","1,686.38","1,691.58","1,570.45","-","-6.26%"
"Apr 19","1,684.77","1,642.62","1,694.32","1,642.62","-","3.03%"
"Mar 19","1,635.23","1,632.07","1,682.72","1,595.92","-","0.21%"
"Feb 19","1,631.85","1,579.95","1,637.52","1,557.93","-","3.12%"
"Jan 19","1,582.53","1,486.40","1,594.05","1,459.40","-","6.47%"
"Dec 18","1,486.40","1,574.61","1,597.62","1,437.83","-","-4.70%"
"Nov 18","1,559.72","1,582.47","1,623.90","1,533.88","-","-1.11%"
"Oct 18","1,577.24","1,702.42","1,716.20","1,525.00","-","-7.72%"
"Sep 18","1,709.28","1,698.20","1,742.54","1,649.65","-","0.27%"
"Aug 18","1,704.61","1,756.35","1,757.90","1,642.57","-","-3.06%"
"Jul 18","1,758.44","1,693.39","1,765.55","1,675.37","-","3.28%"
"Jun 18","1,702.61","1,716.18","1,764.77","1,669.25","-","-0.85%"
"May 18","1,717.22","1,786.25","1,805.78","1,695.73","-","-4.00%"
"Apr 18","1,788.79","1,755.14","1,818.65","1,718.28","-","2.19%"
"Mar 18","1,750.54","1,770.95","1,798.39","1,717.21","-","-1.53%"
"Feb 18","1,777.75","1,894.55","1,903.10","1,726.70","-","-6.09%"
"Jan 18","1,892.98","1,801.03","1,926.27","1,791.71","-","5.36%"
"Dec 17","1,796.64","1,770.37","1,799.68","1,741.89","-","1.44%"
"Nov 17","1,771.14","1,776.59","1,780.46","1,723.91","-","0.02%"
"Oct 17","1,770.87","1,756.49","1,785.06","1,748.24","-","0.42%"
