"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19","103.08","103.60","104.65","101.50","-","-0.81%"
"Nov 19","103.92","105.32","106.16","102.70","103.75M","-1.33%"
"Oct 19","105.32","108.20","108.82","101.12","128.24M","-2.73%"
"Sep 19","108.28","110.70","113.20","104.40","144.98M","-2.45%"
"Aug 19","111.00","105.12","111.64","102.48","109.33M","5.01%"
"Jul 19","105.70","101.76","106.10","100.38","118.25M","4.59%"
"Jun 19","101.06","99.58","102.52","98.91","85.02M","1.52%"
"May 19","99.55","97.87","100.42","96.61","92.02M","1.53%"
"Apr 19","98.05","95.23","98.10","93.33","105.92M","3.32%"
"Mar 19","94.90","90.84","95.88","90.26","144.76M","5.02%"
"Feb 19","90.36","86.88","91.82","85.68","104.60M","4.53%"
"Jan 19","86.44","80.84","86.90","79.86","110.33M","8.32%"
"Dec 18","79.80","85.58","86.50","77.74","116.01M","-6.27%"
"Nov 18","85.14","85.12","85.74","82.96","109.79M","0.02%"
"Oct 18","85.12","81.84","85.12","78.24","136.75M","4.03%"
"Sep 18","81.82","81.12","81.94","79.32","108.82M","0.54%"
"Aug 18","81.38","80.56","82.06","80.10","81.07M","0.84%"
"Jul 18","80.70","76.50","82.28","76.26","100.74M","4.94%"
"Jun 18","76.90","74.58","76.90","72.92","130.86M","3.39%"
"May 18","74.38","76.74","77.90","74.38","116.10M","-3.38%"
"Apr 18","76.98","75.08","77.26","73.72","153.43M","1.80%"
"Mar 18","75.62","74.98","77.10","73.00","143.30M","0.45%"
"Feb 18","75.28","80.80","81.40","74.40","152.09M","-6.39%"
"Jan 18","80.42","83.70","84.72","80.10","125.17M","-4.03%"
"Dec 17","83.80","84.05","86.40","82.55","113.08M","-0.53%"
"Nov 17","84.25","83.95","86.40","83.15","112.86M","0.42%"
"Oct 17","83.90","81.65","84.95","81.15","113.28M","3.45%"
"Sep 17","81.10","81.30","83.00","80.10","123.90M","-0.31%"
"Aug 17","81.35","81.90","83.60","79.50","97.63M","-0.43%"
"Jul 17","81.70","83.60","84.35","80.30","104.39M","-2.10%"
"Jun 17","83.45","82.55","86.00","80.05","160.01M","0.97%"
"May 17","82.65","76.95","83.45","76.75","129.98M","7.83%"
"Apr 17","76.65","76.85","77.55","74.70","106.91M","-0.26%"
"Mar 17","76.85","74.20","77.65","74.05","142.86M","3.50%"
"Feb 17","74.25","72.65","74.95","71.45","128.03M","2.70%"
"Jan 17","72.30","73.60","74.90","71.95","125.71M","-1.03%"
"Dec 16","73.05","68.25","73.60","67.00","131.07M","6.80%"
"Nov 16","68.40","72.10","72.50","67.15","177.60M","-4.67%"
"Oct 16","71.75","76.50","77.35","71.75","118.66M","-6.27%"
"Sep 16","76.55","78.40","79.45","76.05","121.38M","-2.23%"
"Aug 16","78.30","77.20","80.05","76.55","107.68M","0.77%"
"Jul 16","77.70","75.40","78.80","74.95","121.56M","3.39%"
"Jun 16","75.15","73.25","75.45","69.20","170.65M","2.38%"
"May 16","73.40","71.90","74.50","70.25","104.92M","2.66%"
"Apr 16","71.50","71.55","74.00","69.60","154.09M","-0.49%"
"Mar 16","71.85","69.95","72.75","69.75","153.13M","2.50%"
"Feb 16","70.10","75.65","76.05","69.05","165.54M","-6.78%"
"Jan 16","75.20","73.90","75.20","69.00","149.98M","0.87%"
"Dec 15","74.55","76.45","76.95","71.35","120.85M","-2.36%"
"Nov 15","76.35","75.10","76.80","72.95","110.42M","0.99%"
"Oct 15","75.60","73.85","76.25","72.70","131.87M","3.21%"
"Sep 15","73.25","70.80","74.45","69.45","164.78M","2.73%"
"Aug 15","71.30","73.20","75.40","65.70","147.21M","-2.60%"
"Jul 15","73.20","67.60","73.50","67.35","121.70M","8.44%"
"Jun 15","67.50","73.00","73.10","67.50","151.35M","-7.41%"
"May 15","72.90","72.90","73.95","70.50","104.93M","0.00%"
"Apr 15","72.90","73.00","77.00","72.65","159.65M","-0.68%"
"Mar 15","73.40","74.30","76.80","72.85","149.33M","-1.34%"
"Feb 15","74.40","70.90","74.75","69.80","127.14M","5.61%"
"Jan 15","70.45","72.65","74.60","64.55","266.16M","-3.43%"
"Dec 14","72.95","72.45","73.30","68.20","134.36M","0.55%"
"Nov 14","72.55","70.30","72.70","69.85","103.13M","3.05%"
"Oct 14","70.40","70.30","70.40","64.15","180.08M","0.21%"
"Sep 14","70.25","71.30","72.25","69.05","102.77M","-1.40%"
