Date,Credit Rates in %
2019Sep,5.00
2019Aug,5.10
2019Jul,5.06
2019Jun,5.02
2019May,5.15
2019Apr,5.01
2019Mar,4.90
2019Feb,5.00
2019Jan,5.10
2018Dec,4.89
2018Nov,4.99
2018Oct,5.04
2018Sep,5.02
2018Aug,5.19
2018Jul,5.00
2018Jun,4.86
2018May,5.09
2018Apr,4.85
2018Mar,4.81
2018Feb,4.91
2018Jan,4.98
2017Dec,4.73
2017Nov,4.95
2017Oct,4.92
2017Sep,4.95
2017Aug,5.15
2017Jul,5.05
2017Jun,4.93
2017May,4.98
2017Apr,4.81
2017Mar,4.81
2017Feb,4.93
2017Jan,5.04
2016Dec,4.83
2016Nov,4.96
2016Oct,4.87
2016Sep,4.97
2016Aug,5.23
2016Jul,5.15
2016Jun,5.06
2016May,5.31
2016Apr,5.23
2016Mar,5.20
2016Feb,5.31
2016Jan,5.39
2015Dec,5.24
2015Nov,5.46
2015Oct,5.26
2015Sep,5.45
2015Aug,5.56
2015Jul,5.39
2015Jun,5.32
2015May,5.48
2015Apr,5.37
2015Mar,5.36
2015Feb,5.57
2015Jan,5.50
2014Dec,5.52
2014Nov,5.90
2014Oct,5.80
2014Sep,5.92
2014Aug,5.89
2014Jul,5.89
2014Jun,5.96
2014May,6.04
2014Apr,5.89
2014Mar,5.99
2014Feb,6.08
2014Jan,6.15
2013Dec,6.25
2013Nov,6.08
2013Oct,6.09
2013Sep,6.13
2013Aug,6.22
2013Jul,6.20
2013Jun,6.14
2013May,6.21
2013Apr,6.03
2013Mar,6.08
2013Feb,6.13
2013Jan,6.21
2012Dec,6.11
2012Nov,6.19
2012Oct,6.25
2012Sep,6.30
2012Aug,6.41
2012Jul,6.40
2012Jun,6.38
2012May,6.52
2012Apr,6.42
2012Mar,6.55
2012Feb,6.73
2012Jan,6.76
2011Dec,6.56
2011Nov,6.63
2011Oct,6.73
2011Sep,6.75
2011Aug,6.76
2011Jul,6.72
2011Jun,6.65
2011May,6.58
2011Apr,6.42
2011Mar,6.41
2011Feb,6.31
2011Jan,6.32
2010Dec,6.09
2010Nov,6.26
2010Oct,6.20
2010Sep,6.35
2010Aug,6.45
2010Jul,6.38
2010Jun,6.28
2010May,6.12
2010Apr,6.10
2010Mar,6.19
2010Feb,6.24
2010Jan,6.40
2009Dec,6.24
2009Nov,6.28
2009Oct,6.36
2009Sep,6.43
2009Aug,6.52
2009Jul,6.47
2009Jun,6.34
2009May,6.42
2009Apr,6.48
2009Mar,6.48
2009Feb,6.64
2009Jan,7.01
2008Dec,7.01
2008Nov,7.16
2008Oct,7.21
2008Sep,7.20
2008Aug,7.21
2008Jul,7.14
2008Jun,6.93
2008May,7.01
2008Apr,7.01
2008Mar,7.04
2008Feb,7.23
2008Jan,6.99
2007Dec,6.93
2007Nov,6.89
2007Oct,6.87
2007Sep,6.83
2007Aug,6.85
2007Jul,6.75
2007Jun,6.66
2007May,6.72
2007Apr,6.68
2007Mar,6.68
2007Feb,6.83
2007Jan,6.68
2006Dec,6.05
2006Nov,6.11
2006Oct,5.98
2006Sep,6.24
2006Aug,6.38
2006Jul,6.32
2006Jun,6.31
2006May,6.22
2006Apr,6.31
2006Mar,6.28
2006Feb,6.34
2006Jan,6.48
2005Dec,6.36
2005Nov,6.40
2005Oct,6.43
2005Sep,6.43
2005Aug,6.66
2005Jul,6.59
2005Jun,6.52
2005May,6.58
2005Apr,6.66
2005Mar,6.73
2005Feb,6.82
2005Jan,6.84
2004Dec,6.63
2004Nov,6.76
2004Oct,6.72
2004Sep,6.86
2004Aug,6.89
2004Jul,6.86
2004Jun,6.75
2004May,6.73
2004Apr,6.62
2004Mar,6.85
2004Feb,6.96
2004Jan,7.15
2003Dec,6.49
2003Nov,6.74
2003Oct,6.87
2003Sep,6.85
2003Aug,6.88
2003Jul,7.03
2003Jun,7.10
2003May,7.19
2003Apr,7.22
2003Mar,7.25
2003Feb,7.21
2003Jan,7.33
2002Dec,7.17
2002Nov,7.23
2002Oct,7.25
2002Sep,7.36
2002Aug,7.33
2002Jul,7.34
2002Jun,7.35
2002May,7.38
2002Apr,7.38
2002Mar,7.35
2002Feb,7.36
2002Jan,7.39
2001Dec,7.32
2001Nov,7.34
2001Oct,7.49
2001Sep,7.57
2001Aug,7.69
2001Jul,7.60
2001Jun,7.60
2001May,7.65
2001Apr,7.68
2001Mar,7.72
2001Feb,7.74
2001Jan,7.76
2000Dec,7.70
2000Nov,7.70
2000Oct,7.66
2000Sep,7.60
2000Aug,7.54
2000Jul,7.49
2000Jun,7.44
2000May,7.34
2000Apr,7.31
2000Mar,7.26
2000Feb,7.25
2000Jan,7.20
