Sugar - Monthly Price (Euro per Kilogram);;
Month;Price;Change
Nov-99;.14;-
Dec-99;.13;-5.06 %
Jan-00;.12;-7.92 %
Feb-00;.12;3.06 %
Mar-00;.11;-6.53 %
Apr-00;.14;20.39 %
May-00;.17;20.59 %
Jun-00;.19;14.53 %
Jul-00;.22;17.85 %
Aug-00;.25;13.83 %
Sep-00;.25;-0.83 %
Oct-00;.28;11.27 %
Nov-00;.26;-8.49 %
Dec-00;.25;-4.14 %
Jan-01;.25;-0.46 %
Feb-01;.24;-2.63 %
Mar-01;.22;-7.85 %
Apr-01;.21;-3.16 %
May-01;.24;12.80 %
Jun-01;.23;-2.44 %
Jul-01;.22;-5.81 %
Aug-01;.20;-9.45 %
Sep-01;.19;-6.66 %
Oct-01;.17;-11.26 %
Nov-01;.19;15.58 %
Dec-01;.19;-0.47 %
Jan-02;.19;1.04 %
Feb-02;.16;-16.41 %
Mar-02;.17;6.44 %
Apr-02;.17;-1.13 %
May-02;.14;-16.28 %
Jun-02;.14;-3.99 %
Jul-02;.14;3.68 %
Aug-02;.14;1.49 %
Sep-02;.15;6.79 %
Oct-02;.17;13.32 %
Nov-02;.17;-2.09 %
Dec-02;.18;4.19 %
Jan-03;.17;-4.14 %
Feb-03;.19;9.53 %
Mar-03;.17;-10.26 %
Apr-03;.16;-5.92 %
May-03;.14;-11.84 %
Jun-03;.13;-6.92 %
Jul-03;.13;2.56 %
Aug-03;.13;2.11 %
Sep-03;.12;-13.96 %
Oct-03;.11;-4.06 %
Nov-03;.11;-0.06 %
Dec-03;.11;2.57 %
Jan-04;.10;-9.56 %
Feb-04;.10;-0.26 %
Mar-04;.11;11.07 %
Apr-04;.13;9.62 %
May-04;.12;-6.76 %
Jun-04;.12;5.86 %
Jul-04;.14;12.20 %
Aug-04;.14;0.74 %
Sep-04;.14;-0.35 %
Oct-04;.15;9.35 %
Nov-04;.14;-8.93 %
Dec-04;.13;-3.11 %
Jan-05;.14;7.88 %
Feb-05;.15;6.12 %
Mar-05;.15;-1.41 %
Apr-05;.15;-3.08 %
May-05;.15;1.94 %
Jun-05;.16;9.83 %
Jul-05;.17;6.12 %
Aug-05;.18;2.58 %
Sep-05;.19;4.87 %
Oct-05;.21;10.87 %
Nov-05;.21;1.95 %
Dec-05;.24;15.31 %
Jan-06;.29;18.23 %
Feb-06;.34;15.86 %
Mar-06;.32;-5.64 %
Apr-06;.32;0.54 %
May-06;.29;-8.84 %
Jun-06;.27;-7.24 %
Jul-06;.28;2.66 %
Aug-06;.23;-15.14 %
Sep-06;.21;-9.41 %
Oct-06;.21;-2.81 %
Nov-06;.20;-2.09 %
Dec-06;.20;-2.52 %
Jan-07;.18;-6.17 %
Feb-07;.18;-4.72 %
Mar-07;.17;-1.27 %
Apr-07;.16;-10.55 %
May-07;.16;0.03 %
Jun-07;.15;-4.10 %
Jul-07;.16;7.62 %
Aug-07;.16;0.69 %
Sep-07;.16;-1.96 %
Oct-07;.15;-2.34 %
Nov-07;.15;-3.11 %
Dec-07;.16;9.94 %
Jan-08;.18;7.24 %
Feb-08;.20;15.16 %
Mar-08;.19;-8.18 %
Apr-08;.18;-4.83 %
May-08;.17;-2.37 %
Jun-08;.17;0.03 %
Jul-08;.20;13.23 %
Aug-08;.21;8.75 %
Sep-08;.21;-2.32 %
Oct-08;.20;-6.42 %
Nov-08;.21;8.53 %
Dec-08;.19;-8.64 %
Jan-09;.21;9.21 %
Feb-09;.23;7.21 %
Mar-09;.23;1.43 %
Apr-09;.23;-1.14 %
May-09;.26;12.75 %
Jun-09;.26;0.15 %
Jul-09;.29;13.31 %
Aug-09;.34;18.00 %
Sep-09;.35;1.99 %
Oct-09;.34;-3.65 %
Nov-09;.33;-2.65 %
Dec-09;.36;8.34 %
Jan-10;.41;14.18 %
Feb-10;.41;0.68 %
Mar-10;.30;-26.16 %
Apr-10;.27;-11.13 %
May-10;.27;0.70 %
Jun-10;.29;6.02 %
Jul-10;.30;3.82 %
Aug-10;.32;6.85 %
Sep-10;.38;20.29 %
Oct-10;.39;1.58 %
Nov-10;.42;8.69 %
Dec-10;.47;11.05 %
Jan-11;.49;3.75 %
Feb-11;.48;-2.13 %
Mar-11;.41;-13.01 %
Apr-11;.37;-9.74 %
May-11;.33;-10.54 %
Jun-11;.39;16.35 %
Jul-11;.44;11.77 %
Aug-11;.43;-2.24 %
Sep-11;.43;0.90 %
Oct-11;.41;-4.79 %
Nov-11;.39;-4.47 %
Dec-11;.39;-0.83 %
Jan-12;.40;4.04 %
Feb-12;.40;-0.45 %
Mar-12;.40;0.15 %
Apr-12;.38;-5.38 %
May-12;.36;-5.37 %
Jun-12;.36;-0.07 %
Jul-12;.41;13.39 %
Aug-12;.37;-8.93 %
Sep-12;.34;-7.84 %
Oct-12;.35;1.44 %
Nov-12;.34;-3.29 %
Dec-12;.33;-2.20 %
Jan-13;.32;-3.62 %
Feb-13;.30;-5.28 %
Mar-13;.32;5.62 %
Apr-13;.30;-5.33 %
May-13;.30;0.32 %
Jun-13;.29;-4.07 %
Jul-13;.28;-1.85 %
Aug-13;.29;0.96 %
Sep-13;.28;-0.33 %
Oct-13;.30;5.65 %
Nov-13;.29;-3.78 %
Dec-13;.26;-9.16 %
Jan-14;.25;-4.96 %
Feb-14;.27;8.48 %
Mar-14;.28;4.14 %
Apr-14;.28;0.07 %
May-14;.29;3.13 %
Jun-14;.29;1.06 %
Jul-14;.30;0.38 %
Aug-14;.29;-3.39 %
Sep-14;.27;-4.85 %
Oct-14;.29;7.52 %
Nov-14;.29;-1.13 %
Dec-14;.28;-4.48 %
Jan-15;.29;6.34 %
Feb-15;.28;-3.82 %
Mar-15;.27;-5.09 %
Apr-15;.27;-0.04 %
May-15;.26;-2.85 %
Jun-15;.24;-7.36 %
Jul-15;.25;5.80 %
Aug-15;.22;-11.88 %
Sep-15;.23;3.18 %
Oct-15;.28;19.21 %
Nov-15;.30;7.81 %
Dec-15;.29;-1.17 %
Jan-16;.29;-2.96 %
Feb-16;.26;-8.39 %
Mar-16;.31;17.13 %
Apr-16;.30;-2.13 %
May-16;.34;11.97 %
Jun-16;.38;14.07 %
Jul-16;.39;1.47 %
Aug-16;.39;0.99 %
Sep-16;.42;6.79 %
Oct-16;.44;6.11 %
Nov-16;.42;-6.47 %
Dec-16;.39;-6.50 %
Jan-17;.42;8.93 %
Feb-17;.42;-0.21 %
Mar-17;.37;-11.44 %
Apr-17;.34;-10.28 %
May-17;.32;-5.71 %
Jun-17;.28;-12.84 %
Jul-17;.28;0.64 %
Aug-17;.27;-2.45 %
Sep-17;.27;-0.91 %
Oct-17;.27;1.35 %
Nov-17;.28;3.40 %
Dec-17;.27;-3.94 %
Jan-18;.25;-5.97 %
Feb-18;.24;-4.40 %
Mar-18;.23;-6.61 %
Apr-18;.22;-3.10 %
May-18;.23;3.86 %
Jun-18;.24;4.96 %
Jul-18;.22;-7.22 %
Aug-18;.21;-6.57 %
Sep-18;.21;3.16 %
Oct-18;.25;17.79 %
Nov-18;.25;-2.44 %
Dec-18;.25;-0.12 %
Jan-19;.25;-0.35 %
Feb-19;.26;4.18 %
Mar-19;.25;-3.02 %
Apr-19;.25;0.57 %
May-19;.24;-3.10 %
Jun-19;.25;2.70 %
Jul-19;.25;0.70 %
Aug-19;.24;-2.80 %
Sep-19;.24;-2.65 %
Oct-19;.25;7.23 %
