This file was created using the 201909 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199007    ,4.46    ,0.24   ,-1.30    ,0.68
199008  ,-10.88    ,0.18   ,-0.19    ,0.66
199009  ,-12.19    ,2.03    ,0.54    ,0.60
199010    ,6.45   ,-2.73   ,-0.95    ,0.68
199011   ,-0.42   ,-2.61    ,0.59    ,0.57
199012   ,-1.55    ,1.03    ,0.13    ,0.60
199101    ,1.51   ,-4.13    ,0.00    ,0.52
199102    ,7.30    ,1.13    ,0.76    ,0.48
199103   ,-6.70    ,2.09   ,-0.26    ,0.44
199104   ,-0.87   ,-0.21   ,-0.52    ,0.53
199105    ,0.49   ,-3.41    ,0.08    ,0.47
199106   ,-7.41    ,0.63   ,-0.76    ,0.42
199107    ,5.30   ,-3.20   ,-0.43    ,0.49
199108    ,1.42   ,-0.95   ,-0.07    ,0.46
199109    ,3.02    ,1.81   ,-0.19    ,0.46
199110   ,-2.62   ,-0.83   ,-1.29    ,0.42
199111   ,-2.27    ,0.58   ,-1.87    ,0.39
199112    ,6.30   ,-3.85   ,-2.09    ,0.38
199201   ,-0.52   ,-0.98    ,1.22    ,0.34
199202   ,-0.44   ,-0.34    ,0.30    ,0.28
199203   ,-3.73    ,0.32    ,0.51    ,0.34
199204    ,5.02   ,-1.18   ,-0.27    ,0.32
199205    ,5.09    ,0.20    ,1.27    ,0.28
199206   ,-1.17    ,0.55   ,-0.76    ,0.32
199207   ,-4.10   ,-1.23   ,-1.28    ,0.31
199208   ,-0.80   ,-1.41   ,-0.39    ,0.26
199209   ,-2.99   ,-3.44   ,-1.96    ,0.26
199210   ,-7.71   ,-2.52    ,1.34    ,0.23
199211   ,-0.65   ,-2.71   ,-0.27    ,0.23
199212    ,1.22    ,0.01   ,-1.28    ,0.28
199301    ,0.63    ,3.21    ,2.97    ,0.23
199302    ,1.11   ,-0.77    ,1.83    ,0.22
199303    ,5.43    ,1.37    ,0.99    ,0.25
199304    ,1.92    ,3.51    ,1.94    ,0.24
199305    ,0.91    ,0.28    ,1.59    ,0.22
199306   ,-3.23   ,-1.63    ,1.59    ,0.25
199307    ,1.03   ,-1.05    ,2.90    ,0.24
199308    ,8.61    ,0.57    ,2.23    ,0.25
199309   ,-0.64    ,1.09   ,-0.01    ,0.26
199310    ,2.46   ,-1.96    ,0.82    ,0.22
199311   ,-2.31    ,0.84   ,-1.55    ,0.25
199312    ,7.16   ,-2.61    ,2.68    ,0.23
199401    ,5.89    ,5.47    ,4.41    ,0.25
199402   ,-3.46    ,4.02    ,1.00    ,0.21
199403   ,-2.80    ,0.95    ,1.81    ,0.27
