"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19","60.65","59.61","62.44","56.33","-","1.71%"
"Sep 19","59.63","54.97","60.31","54.62","-","8.48%"
"Aug 19","54.97","58.37","59.04","52.98","-","-5.87%"
"Jul 19","58.40","59.35","61.44","58.20","-","-1.45%"
"Jun 19","59.26","57.40","59.65","56.92","-","2.95%"
"May 19","57.56","63.28","63.69","57.24","-","-9.08%"
"Apr 19","63.31","59.48","64.30","59.48","-","6.74%"
"Mar 19","59.31","60.86","62.32","58.79","-","-2.56%"
"Feb 19","60.87","58.13","61.04","57.26","-","4.79%"
"Jan 19","58.09","54.92","59.50","53.67","-","5.77%"
"Dec 18","54.92","59.19","60.41","53.02","-","-7.07%"
"Nov 18","59.10","59.57","61.26","57.54","-","-0.69%"
"Oct 18","59.51","63.69","64.03","57.04","-","-6.68%"
"Sep 18","63.77","62.53","65.56","61.67","-","1.92%"
"Aug 18","62.57","66.23","66.42","62.49","-","-5.45%"
"Jul 18","66.18","63.73","66.45","62.55","-","3.88%"
"Jun 18","63.71","64.34","66.46","62.42","-","-1.13%"
"May 18","64.44","69.67","70.16","64.14","-","-7.47%"
"Apr 18","69.64","67.38","70.22","65.67","-","3.40%"
"Mar 18","67.35","71.16","71.16","66.16","-","-5.62%"
"Feb 18","71.36","73.94","74.55","68.88","-","-3.16%"
"Jan 18","73.69","70.44","75.32","70.07","-","4.57%"
"Dec 17","70.47","70.05","71.72","69.02","-","0.56%"
"Nov 17","70.08","71.44","71.82","68.41","-","-1.83%"
"Oct 17","71.39","71.45","72.19","70.31","-","-0.01%"
"Sep 17","71.40","68.53","71.40","66.66","-","4.28%"
"Aug 17","68.47","70.92","72.12","67.38","-","-3.40%"
"Jul 17","70.88","69.11","72.01","69.11","-","2.64%"
"Jun 17","69.06","68.52","70.56","68.02","-","0.70%"
"May 17","68.58","69.59","71.92","68.23","-","-1.52%"
"Apr 17","69.64","68.22","70.28","65.49","-","2.28%"
"Mar 17","68.09","65.46","68.81","65.46","-","4.53%"
"Feb 17","65.14","65.57","67.80","64.56","-","-0.56%"
"Jan 17","65.51","65.08","68.32","64.63","-","0.72%"
"Dec 16","65.04","60.96","66.33","60.32","-","6.68%"
"Nov 16","60.97","58.25","61.88","55.67","-","4.78%"
"Oct 16","58.19","54.80","58.91","54.34","-","6.01%"
"Sep 16","54.89","55.79","57.50","52.85","-","-1.45%"
"Aug 16","55.70","52.64","56.18","50.74","-","5.77%"
"Jul 16","52.66","50.51","53.09","46.64","-","4.61%"
"Jun 16","50.34","58.91","58.91","46.90","-","-14.65%"
"May 16","58.98","58.07","59.99","54.09","-","1.64%"
"Apr 16","58.03","56.28","60.21","53.08","-","2.87%"
"Mar 16","56.41","56.45","61.02","55.95","-","-0.14%"
"Feb 16","56.49","59.73","59.84","50.39","-","-5.12%"
"Jan 16","59.54","67.51","67.51","56.56","-","-12.12%"
"Dec 15","67.75","71.39","71.95","64.30","-","-4.91%"
"Nov 15","71.25","69.89","71.44","68.27","-","1.79%"
"Oct 15","70.00","65.90","71.32","65.10","-","6.66%"
"Sep 15","65.63","69.30","70.63","63.26","-","-5.77%"
"Aug 15","69.65","76.85","77.80","63.90","-","-9.16%"
"Jul 15","76.67","73.43","79.14","70.50","-","4.68%"
"Jun 15","73.24","76.00","76.92","72.07","-","-3.40%"
"May 15","75.82","75.16","77.89","72.44","-","0.82%"
"Apr 15","75.20","76.02","79.08","74.67","-","-1.27%"
"Mar 15","76.17","73.35","77.27","72.59","-","3.80%"
"Feb 15","73.38","67.80","73.49","67.06","-","8.04%"
"Jan 15","67.92","65.63","70.03","62.19","-","3.49%"
"Dec 14","65.63","67.03","68.04","61.12","-","-2.38%"
"Nov 14","67.23","65.59","67.29","63.45","-","2.53%"
"Oct 14","65.57","66.44","66.74","58.42","-","-1.41%"
"Sep 14","66.51","65.78","68.27","65.14","-","1.33%"
"Aug 14","65.64","64.17","66.29","61.25","-","2.27%"
"Jul 14","64.18","64.21","65.92","62.28","-","0.23%"
"Jun 14","64.03","66.32","67.89","63.71","-","-3.44%"
"May 14","66.31","65.27","66.59","63.66","-","1.58%"
"Apr 14","65.28","64.95","66.83","63.01","-","0.73%"
"Mar 14","64.81","66.21","66.70","62.34","-","-2.13%"
"Feb 14","66.22","63.71","66.37","62.08","-","3.79%"
"Jan 14","63.80","63.99","67.61","62.81","-","-0.30%"
"Dec 13","63.99","63.52","64.01","59.80","-","0.96%"
"Nov 13","63.38","62.82","63.70","61.09","-","0.92%"
"Oct 13","62.80","59.29","63.56","59.29","-","6.15%"
"Sep 13","59.16","56.76","61.38","56.76","-","4.60%"
"Aug 13","56.56","57.76","60.19","56.16","-","-1.79%"
"Jul 13","57.59","53.65","58.41","52.30","-","8.35%"
"Jun 13","53.15","57.42","57.66","51.30","-","-7.53%"
"May 13","57.48","55.76","59.43","55.44","-","3.07%"
"Apr 13","55.77","53.48","56.38","51.43","-","4.36%"
"Mar 13","53.44","55.04","56.79","52.82","-","-3.00%"
"Feb 13","55.09","55.39","56.10","53.70","-","-0.99%"
"Jan 13","55.64","52.67","56.34","52.62","-","5.64%"
"Dec 12","52.67","51.34","53.37","51.25","-","2.61%"
"Nov 12","51.33","49.67","51.61","48.40","-","3.45%"
"Oct 12","49.62","47.63","50.88","47.63","-","4.09%"
"Sep 12","47.67","45.82","50.42","45.43","-","3.74%"
"Aug 12","45.95","43.41","47.24","42.44","-","5.78%"
"Jul 12","43.44","43.11","44.40","40.37","-","0.98%"
"Jun 12","43.02","39.46","43.34","38.51","-","9.24%"
"May 12","39.38","44.12","45.01","39.01","-","-10.78%"
"Apr 12","44.14","47.66","48.08","42.78","-","-7.29%"
"Mar 12","47.61","48.12","50.92","46.56","-","-1.16%"
"Feb 12","48.17","45.88","49.74","45.88","-","5.36%"
"Jan 12","45.72","41.68","47.23","40.20","-","9.59%"
"Dec 11","41.72","41.26","43.73","39.47","-","1.09%"
"Nov 11","41.27","43.42","43.70","36.47","-","-6.88%"
"Oct 11","44.32","40.35","47.07","37.94","-","7.60%"
"Sep 11","41.19","44.13","44.63","36.16","-","-6.39%"
"Aug 11","44.00","52.31","52.80","40.59","-","-15.24%"
"Jul 11","51.91","55.33","56.67","50.18","-","-6.18%"
"Jun 11","55.33","57.88","58.00","52.49","-","-4.36%"
"May 11","57.85","59.75","59.95","55.75","-","-3.08%"
"Apr 11","59.69","58.91","61.18","57.25","-","2.26%"
"Mar 11","58.37","63.38","63.50","56.89","-","-7.60%"
"Feb 11","63.17","61.53","65.84","61.05","-","3.13%"
"Jan 11","61.25","56.99","62.28","56.99","-","8.08%"
"Dec 10","56.67","54.07","58.81","54.07","-","4.91%"
"Nov 10","54.02","59.06","60.47","53.70","-","-8.00%"
"Oct 10","58.72","58.50","60.57","57.43","-","0.81%"
"Sep 10","58.25","57.93","62.18","57.51","-","0.88%"
"Aug 10","57.74","60.81","62.99","56.24","-","-4.70%"
"Jul 10","60.59","53.98","62.23","52.25","-","12.35%"
"Jun 10","53.93","54.02","58.66","51.06","-","-0.52%"
"May 10","54.21","59.15","59.42","50.84","-","-8.35%"
"Apr 10","59.15","61.64","64.51","57.44","-","-3.60%"
"Mar 10","61.36","57.43","62.37","55.90","-","7.76%"
"Feb 10","56.94","56.69","59.06","52.59","-","-0.21%"
"Jan 10","57.06","60.53","64.01","56.27","-","-5.73%"
"Dec 09","60.53","59.13","61.76","57.89","-","2.84%"
"Nov 09","58.86","59.81","64.24","57.63","-","-1.93%"
"Oct 09","60.02","63.61","65.78","58.94","-","-5.54%"
"Sep 09","63.54","61.75","64.59","58.55","-","2.88%"
"Aug 09","61.76","55.49","62.83","55.40","-","11.26%"
"Jul 09","55.51","48.80","55.82","45.76","-","13.77%"
"Jun 09","48.79","50.23","51.91","46.75","-","-2.32%"
"May 09","49.95","46.71","51.60","45.29","-","6.66%"
"Apr 09","46.83","35.71","47.27","34.82","-","31.32%"
"Mar 09","35.66","32.70","38.25","25.70","-","8.72%"
"Feb 09","32.80","39.94","41.22","30.73","-","-18.12%"
"Jan 09","40.06","44.72","48.21","33.79","-","-10.42%"
"Dec 08","44.72","48.15","177.34","43.02","-","-7.22%"
"Nov 08","48.20","54.76","58.42","39.54","-","-11.80%"
"Oct 08","54.65","72.26","77.66","45.31","-","-23.82%"
"Sep 08","71.74","79.51","83.86","67.94","-","-10.52%"
"Aug 08","80.17","78.71","85.22","75.35","-","1.06%"
"Jul 08","79.33","77.71","83.50","67.71","-","1.78%"
"Jun 08","77.94","91.69","91.69","76.79","-","-15.24%"
"May 08","91.95","98.18","101.49","90.20","-","-6.31%"
"Apr 08","98.14","93.10","100.46","92.72","-","5.39%"
"Mar 08","93.12","93.78","94.77","83.60","-","-1.42%"
"Feb 08","94.46","97.82","100.25","90.06","-","-3.09%"
"Jan 08","97.47","111.61","112.05","87.26","-","-12.86%"
"Dec 07","111.85","114.66","117.83","109.92","-","-2.45%"
"Nov 07","114.66","124.69","124.69","104.67","-","-8.03%"
"Oct 07","124.67","122.32","128.67","119.84","-","1.97%"
"Sep 07","122.26","123.79","125.38","115.51","-","-0.93%"
"Aug 07","123.41","126.87","130.00","117.45","-","-3.44%"
"Jul 07","127.81","132.68","135.10","123.79","-","-3.98%"
"Jun 07","133.11","137.82","138.77","131.13","-","-3.35%"
"May 07","137.72","137.66","139.29","135.70","-","0.06%"
"Apr 07","137.64","132.54","139.74","132.15","-","3.86%"
"Mar 07","132.53","131.88","134.64","124.70","-","0.46%"
"Feb 07","131.92","136.22","139.25","131.11","-","-2.86%"
"Jan 07","135.81","132.72","138.45","132.72","-","2.51%"
"Dec 06","132.49","127.07","133.21","125.21","-","4.50%"
"Nov 06","126.78","129.11","131.73","125.80","-","-1.70%"
"Oct 06","128.97","125.32","131.14","124.02","-","3.08%"
"Sep 06","125.12","121.28","125.60","119.03","-","3.17%"
"Aug 06","121.27","116.39","121.90","115.06","-","4.09%"
"Jul 06","116.51","114.53","117.25","108.75","-","1.71%"
"Jun 06","114.55","114.30","116.11","106.52","-","0.17%"
"May 06","114.36","121.50","124.96","111.23","-","-5.81%"
"Apr 06","121.42","122.37","123.31","119.38","-","-0.45%"
"Mar 06","121.97","121.53","123.80","117.69","-","0.32%"
"Feb 06","121.58","114.96","123.53","114.68","-","5.67%"
"Jan 06","115.06","110.58","115.32","109.81","-","4.02%"
"Dec 05","110.61","106.57","111.46","106.57","-","3.95%"
"Nov 05","106.41","100.24","108.16","100.21","-","6.08%"
"Oct 05","100.31","101.53","103.40","97.30","-","-1.16%"
"Sep 05","101.49","97.13","101.80","97.09","-","4.61%"
"Aug 05","97.02","98.83","99.86","95.71","-","-1.77%"
"Jul 05","98.77","95.33","99.38","92.26","-","3.59%"
"Jun 05","95.35","92.19","96.82","92.19","-","3.34%"
"May 05","92.27","89.36","92.72","89.36","-","3.30%"
"Apr 05","89.32","92.63","94.26","88.78","-","-3.58%"
"Mar 05","92.64","93.89","95.36","91.49","-","-1.27%"
"Feb 05","93.83","91.46","95.50","91.28","-","2.55%"
"Jan 05","91.50","90.03","92.10","89.77","-","1.69%"
