"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"02/12/2019","1.698,51","1.718,47","1.727,68","1.698,27","-","-1,14%"
"29/11/2019","1.718,10","1.719,09","1.723,48","1.715,21","-","-0,29%"
"28/11/2019","1.723,10","1.724,18","1.724,72","1.720,19","-","-0,08%"
"27/11/2019","1.724,42","1.724,39","1.727,99","1.721,20","-","0,18%"
"26/11/2019","1.721,39","1.719,78","1.723,95","1.716,25","-","0,07%"
"25/11/2019","1.720,21","1.714,41","1.720,84","1.714,30","-","0,82%"
"22/11/2019","1.706,21","1.704,36","1.718,23","1.704,25","-","0,07%"
"21/11/2019","1.704,98","1.709,16","1.709,16","1.696,41","-","-0,28%"
"20/11/2019","1.709,72","1.713,93","1.713,93","1.701,07","-","-0,54%"
"19/11/2019","1.719,08","1.720,39","1.733,79","1.716,09","-","-0,15%"
"18/11/2019","1.721,63","1.719,95","1.723,60","1.714,54","-","0,22%"
"15/11/2019","1.717,83","1.708,26","1.718,43","1.704,00","-","0,86%"
"14/11/2019","1.703,23","1.710,99","1.711,46","1.703,15","-","-0,47%"
"13/11/2019","1.711,31","1.714,26","1.714,26","1.702,67","-","-0,29%"
"12/11/2019","1.716,34","1.713,13","1.719,45","1.711,88","-","0,19%"
"11/11/2019","1.713,16","1.709,22","1.714,53","1.702,71","-","0,10%"
"08/11/2019","1.711,51","1.718,48","1.718,48","1.708,63","-","-0,49%"
"07/11/2019","1.719,94","1.720,18","1.726,89","1.718,19","-","0,06%"
"06/11/2019","1.718,89","1.714,61","1.722,17","1.713,14","-","0,21%"
"05/11/2019","1.715,33","1.721,40","1.722,61","1.712,16","-","-0,51%"
"04/11/2019","1.724,11","1.713,87","1.726,89","1.713,37","-","0,87%"
"01/11/2019","1.709,19","1.698,90","1.710,07","1.698,90","-","0,81%"
"31/10/2019","1.695,38","1.707,58","1.709,40","1.692,36","-","-0,26%"
"30/10/2019","1.699,87","1.696,39","1.703,97","1.689,44","-","0,17%"
"29/10/2019","1.697,03","1.694,26","1.697,03","1.685,21","-","0,05%"
"28/10/2019","1.696,12","1.692,44","1.699,46","1.688,84","-","0,23%"
"25/10/2019","1.692,16","1.692,10","1.694,38","1.684,18","-","0,03%"
"24/10/2019","1.691,67","1.688,39","1.698,78","1.688,31","-","0,51%"
"23/10/2019","1.683,14","1.677,49","1.686,58","1.674,89","-","-0,04%"
"22/10/2019","1.683,74","1.683,66","1.688,53","1.675,67","-","-0,01%"
"21/10/2019","1.683,91","1.676,14","1.688,47","1.675,22","-","0,69%"
"18/10/2019","1.672,39","1.673,07","1.678,94","1.666,84","-","-0,10%"
"17/10/2019","1.674,10","1.665,76","1.692,13","1.664,35","-","0,51%"
"16/10/2019","1.665,65","1.667,45","1.671,69","1.657,92","-","-0,03%"
"15/10/2019","1.666,20","1.652,67","1.670,21","1.649,26","-","1,17%"
"14/10/2019","1.646,95","1.650,24","1.650,24","1.637,97","-","-0,57%"
"11/10/2019","1.656,40","1.623,18","1.657,74","1.621,52","-","2,45%"
"10/10/2019","1.616,84","1.606,65","1.623,07","1.599,02","-","0,92%"
"09/10/2019","1.602,12","1.591,85","1.608,71","1.590,34","-","0,64%"
"08/10/2019","1.591,90","1.614,45","1.616,05","1.589,98","-","-1,45%"
"07/10/2019","1.615,34","1.600,60","1.616,41","1.598,72","-","0,86%"
"04/10/2019","1.601,51","1.588,88","1.603,43","1.587,16","-","0,66%"
"03/10/2019","1.591,03","1.583,28","1.593,30","1.579,97","-","0,34%"
"02/10/2019","1.585,57","1.625,51","1.625,51","1.585,41","-","-2,45%"
"01/10/2019","1.625,45","1.642,46","1.648,97","1.625,45","-","-1,18%"
"30/09/2019","1.644,80","1.644,95","1.647,53","1.640,28","-","-0,07%"
"27/09/2019","1.645,95","1.635,04","1.646,76","1.635,04","-","0,53%"
"26/09/2019","1.637,33","1.627,10","1.643,03","1.626,43","-","0,46%"
"25/09/2019","1.629,82","1.642,43","1.642,43","1.619,48","-","-0,90%"
"24/09/2019","1.644,68","1.646,72","1.649,82","1.644,19","-","-0,03%"
"23/09/2019","1.645,14","1.656,90","1.657,75","1.637,72","-","-0,89%"
"20/09/2019","1.659,86","1.666,44","1.667,34","1.657,63","-","-0,12%"
"19/09/2019","1.661,78","1.649,45","1.664,85","1.647,09","-","0,61%"
"18/09/2019","1.651,68","1.650,25","1.654,99","1.645,85","-","0,08%"
"17/09/2019","1.650,30","1.643,88","1.654,24","1.640,06","-","0,41%"
"16/09/2019","1.643,52","1.656,96","1.658,24","1.643,45","-","-1,34%"
"13/09/2019","1.665,82","1.662,44","1.667,51","1.660,53","-","0,76%"
"12/09/2019","1.653,22","1.649,17","1.659,86","1.644,47","-","0,48%"
"11/09/2019","1.645,30","1.640,97","1.648,34","1.640,31","-","0,41%"
"10/09/2019","1.638,66","1.637,17","1.639,83","1.627,00","-","0,04%"
"09/09/2019","1.638,04","1.640,54","1.641,84","1.634,85","-","-0,18%"
"06/09/2019","1.640,96","1.635,08","1.640,96","1.632,19","-","0,33%"
"05/09/2019","1.635,51","1.624,59","1.639,90","1.624,59","-","0,85%"
"04/09/2019","1.621,71","1.607,73","1.624,03","1.607,73","-","1,52%"
"03/09/2019","1.597,41","1.595,71","1.599,20","1.588,47","-","-0,26%"
"02/09/2019","1.601,59","1.601,84","1.607,63","1.600,30","-","-0,06%"
"30/08/2019","1.602,62","1.596,09","1.611,34","1.596,09","-","0,19%"
"29/08/2019","1.599,53","1.582,65","1.602,66","1.580,97","-","0,97%"
"28/08/2019","1.584,16","1.587,92","1.587,92","1.572,64","-","-0,37%"
"27/08/2019","1.589,98","1.581,35","1.593,14","1.577,04","-","0,50%"
"26/08/2019","1.582,06","1.580,56","1.585,67","1.576,15","-","0,04%"
"23/08/2019","1.581,43","1.590,88","1.599,90","1.581,43","-","-0,57%"
"22/08/2019","1.590,46","1.594,50","1.600,87","1.586,07","-","-0,51%"
"21/08/2019","1.598,58","1.579,88","1.602,31","1.579,88","-","1,26%"
"20/08/2019","1.578,65","1.587,84","1.593,66","1.576,10","-","-0,77%"
"19/08/2019","1.590,83","1.582,22","1.593,10","1.582,22","-","1,04%"
"16/08/2019","1.574,38","1.555,33","1.575,07","1.555,33","-","1,22%"
"15/08/2019","1.555,44","1.566,25","1.569,48","1.544,68","-","-0,68%"
"14/08/2019","1.566,04","1.597,40","1.597,40","1.560,43","-","-1,98%"
"13/08/2019","1.597,66","1.587,83","1.604,55","1.578,70","-","0,30%"
"12/08/2019","1.592,81","1.601,51","1.608,33","1.587,92","-","-0,18%"
"09/08/2019","1.595,72","1.607,41","1.607,41","1.594,39","-","-0,82%"
"08/08/2019","1.608,96","1.590,63","1.611,54","1.590,63","-","1,51%"
"07/08/2019","1.585,00","1.580,59","1.593,55","1.576,69","-","0,49%"
"06/08/2019","1.577,24","1.585,15","1.596,07","1.576,73","-","-0,43%"
"05/08/2019","1.584,09","1.597,32","1.598,88","1.582,15","-","-1,64%"
"02/08/2019","1.610,45","1.634,32","1.634,32","1.606,95","-","-2,09%"
"01/08/2019","1.644,84","1.630,43","1.649,67","1.629,20","-","-0,26%"
"31/07/2019","1.649,17","1.649,00","1.651,51","1.638,16","-","0,12%"
"30/07/2019","1.647,17","1.669,03","1.669,03","1.644,78","-","-1,36%"
"29/07/2019","1.669,84","1.663,67","1.675,74","1.663,46","-","0,13%"
"26/07/2019","1.667,70","1.664,43","1.670,78","1.662,49","-","0,02%"
"25/07/2019","1.667,31","1.675,71","1.684,30","1.662,35","-","-0,44%"
"24/07/2019","1.674,63","1.675,45","1.676,69","1.668,24","-","-0,02%"
"23/07/2019","1.675,02","1.667,07","1.681,96","1.667,07","-","0,35%"
"22/07/2019","1.669,18","1.666,77","1.671,34","1.664,38","-","0,13%"
"19/07/2019","1.666,93","1.673,34","1.682,10","1.663,98","-","0,13%"
"18/07/2019","1.664,73","1.667,03","1.674,03","1.660,36","-","-0,28%"
"17/07/2019","1.669,41","1.670,15","1.677,05","1.667,65","-","-0,36%"
"16/07/2019","1.675,38","1.673,28","1.676,73","1.669,20","-","0,01%"
"15/07/2019","1.675,17","1.673,84","1.681,45","1.668,65","-","0,29%"
"12/07/2019","1.670,30","1.672,77","1.675,61","1.668,20","-","0,02%"
"11/07/2019","1.670,03","1.677,63","1.681,07","1.668,19","-","-0,12%"
"10/07/2019","1.672,06","1.667,62","1.680,92","1.664,70","-","0,20%"
"09/07/2019","1.668,80","1.673,74","1.673,74","1.661,39","-","-0,56%"
"08/07/2019","1.678,14","1.678,40","1.685,25","1.675,04","-","-0,13%"
"05/07/2019","1.680,27","1.699,83","1.699,83","1.674,02","-","-1,24%"
"04/07/2019","1.701,37","1.700,34","1.703,40","1.699,08","-","0,11%"
"03/07/2019","1.699,55","1.686,22","1.702,27","1.686,22","-","0,69%"
"02/07/2019","1.687,83","1.684,24","1.690,73","1.681,43","-","0,12%"
"01/07/2019","1.685,79","1.681,82","1.694,27","1.680,61","-","0,19%"
"28/06/2019","1.682,62","1.670,07","1.682,62","1.670,07","-","0,83%"
"27/06/2019","1.668,73","1.669,24","1.674,86","1.663,17","-","-0,07%"
"26/06/2019","1.669,93","1.670,04","1.676,75","1.666,90","-","-0,35%"
"25/06/2019","1.675,75","1.679,14","1.679,14","1.669,74","-","-0,17%"
"24/06/2019","1.678,67","1.680,87","1.686,05","1.676,89","-","0,36%"
"21/06/2019","1.672,63","1.674,06","1.680,63","1.669,74","-","-0,11%"
