date, value
1995-01-03,1.6775
1995-01-04,1.6800
1995-01-05,1.7255
1995-01-06,1.7495
1995-01-09,1.6910
1995-01-10,1.6900
1995-01-11,1.6470
1995-01-12,1.6770
1995-01-13,1.6980
1995-01-16,1.6845
1995-01-17,1.7030
1995-01-18,1.7425
1995-01-19,1.7235
1995-01-20,1.6985
1995-01-23,1.6955
1995-01-24,1.6660
1995-01-25,1.6540
1995-01-26,1.6700
1995-01-27,1.6165
1995-01-30,1.5745
1995-01-31,1.5550
1995-02-01,1.5575
1995-02-02,1.5820
1995-02-03,1.5435
1995-02-06,1.5390
1995-02-07,1.5400
1995-02-08,1.5685
1995-02-09,1.5890
1995-02-10,1.6275
1995-02-13,1.6220
1995-02-14,1.6450
1995-02-15,1.6525
1995-02-16,1.6285
1995-02-17,1.6935
1995-02-21,1.7010
1995-02-22,1.6915
1995-02-23,1.6964
1995-02-24,1.7455
1995-02-27,1.8403
1995-02-28,1.8120
1995-03-01,1.8665
1995-03-02,1.8265
1995-03-03,1.7980
1995-03-06,1.7975
1995-03-07,1.7965
1995-03-08,1.8135
1995-03-09,1.8325
1995-03-10,1.8775
1995-03-13,1.8215
1995-03-14,1.8240
1995-03-15,1.7880
1995-03-16,1.7120
1995-03-17,1.6915
1995-03-20,1.6850
1995-03-21,1.7145
1995-03-22,1.6955
1995-03-23,1.6565
1995-03-24,1.6760
1995-03-27,1.6770
1995-03-28,1.6750
1995-03-29,1.6725
1995-03-30,1.6405
1995-03-31,1.6630
1995-04-03,1.6545
1995-04-04,1.6510
1995-04-05,1.6745
1995-04-06,1.6680
1995-04-07,1.6710
1995-04-10,1.6700
1995-04-11,1.6545
1995-04-12,1.6565
1995-04-13,1.6265
1995-04-17,1.6430
1995-04-18,1.6575
1995-04-19,1.6915
1995-04-20,1.6920
1995-04-21,1.7285
1995-04-24,1.7505
1995-04-25,1.7563
1995-04-26,1.7517
1995-04-27,1.7399
1995-04-28,1.7337
1995-05-01,1.7315
1995-05-02,1.7185
1995-05-03,1.7630
1995-05-04,1.7560
1995-05-05,1.7485
1995-05-08,1.7400
1995-05-09,1.7480
1995-05-10,1.7480
1995-05-11,1.6990
1995-05-12,1.6810
1995-05-15,1.7005
1995-05-16,1.6745
1995-05-17,1.7035
1995-05-18,1.6640
1995-05-19,1.6710
1995-05-22,1.6235
1995-05-23,1.5545
1995-05-24,1.5105
1995-05-25,1.5485
1995-05-26,1.5210
1995-05-30,1.5405
1995-05-31,1.5385
1995-06-01,1.5865
1995-06-02,1.5960
1995-06-05,1.5840
1995-06-06,1.5665
1995-06-07,1.5015
1995-06-08,1.5170
1995-06-09,1.5230
1995-06-12,1.5360
1995-06-13,1.4645
1995-06-14,1.4710
1995-06-15,1.5425
1995-06-16,1.4990
1995-06-19,1.4715
1995-06-20,1.4955
1995-06-21,1.4980
1995-06-22,1.5115
1995-06-23,1.4415
1995-06-26,1.3880
1995-06-27,1.3810
1995-06-28,1.3926
1995-06-29,1.3680
1995-06-30,1.3034
1995-07-05,1.2615
1995-07-06,1.2105
1995-07-07,1.2985
1995-07-10,1.3735
1995-07-11,1.3645
1995-07-12,1.3860
1995-07-13,1.3920
1995-07-14,1.4470
1995-07-17,1.3930
1995-07-18,1.3870
1995-07-19,1.3955
1995-07-20,1.4220
1995-07-21,1.4830
1995-07-24,1.4670
1995-07-25,1.4735
1995-07-26,1.5230
1995-07-27,1.4760
1995-07-28,1.4330
1995-07-31,1.4570
1995-08-01,1.4200
1995-08-02,1.4440
1995-08-03,1.4475
1995-08-04,1.4415
1995-08-07,1.4375
1995-08-08,1.4525
1995-08-09,1.4475
1995-08-10,1.4700
1995-08-11,1.4695
1995-08-14,1.4625
1995-08-15,1.4715
1995-08-16,1.4735
1995-08-17,1.4545
1995-08-18,1.4465
1995-08-21,1.4745
1995-08-22,1.4950
1995-08-23,1.5120
1995-08-24,1.5035
1995-08-25,1.5360
