Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691439
,SEC.M.A1.1000.F33000.N.4.EUR.E.Z,SEC.M.A1.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.Z01.E.S,SEC.M.I8.1000.F33000.N.4.Z01.E.Z,SEC.M.I8.1000.F33000.N.4.Z06.E.Z,SEC.M.I8.1000.F33100.N.4.EUR.E.Z,SEC.M.I8.1000.F33100.N.4.Z01.E.Z,SEC.M.I8.1000.F33100.N.4.Z06.E.Z,SEC.M.I8.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33200.N.4.Z01.E.S,SEC.M.I8.1000.F33200.N.4.Z01.E.Z,SEC.M.I8.1000.F33200.N.4.Z06.E.Z,SEC.M.I8.1000.F33201.N.4.EUR.E.Z,SEC.M.I8.1000.F33201.N.4.Z01.E.Z,SEC.M.I8.1000.F33201.N.4.Z06.E.Z,SEC.M.I8.1000.F33202.N.4.EUR.E.Z,SEC.M.I8.1000.F33202.N.4.Z01.E.Z,SEC.M.I8.1000.F33202.N.4.Z06.E.Z,SEC.M.I8.1100.F33000.N.4.Z01.E.S,SEC.M.I8.1100.F33000.N.4.Z01.E.Z,SEC.M.I8.1100.F33100.N.4.Z01.E.Z,SEC.M.I8.1100.F33200.N.4.Z01.E.S,SEC.M.I8.1100.F33200.N.4.Z01.E.Z,SEC.M.I8.1100.F33201.N.4.Z01.E.Z,SEC.M.I8.1100.F33202.N.4.Z01.E.Z,SEC.M.I8.1235.F33000.N.4.Z01.E.S,SEC.M.I8.1235.F33000.N.4.Z01.E.Z,SEC.M.I8.1235.F33100.N.4.Z01.E.Z,SEC.M.I8.1235.F33200.N.4.Z01.E.S,SEC.M.I8.1235.F33200.N.4.Z01.E.Z,SEC.M.I8.1235.F33201.N.4.Z01.E.Z,SEC.M.I8.1235.F33202.N.4.Z01.E.Z,SEC.M.I8.12A0.F33000.N.4.Z01.E.S,SEC.M.I8.12A0.F33000.N.4.Z01.E.Z,SEC.M.I8.12A0.F33100.N.4.Z01.E.Z,SEC.M.I8.12A0.F33200.N.4.Z01.E.S,SEC.M.I8.12A0.F33200.N.4.Z01.E.Z,SEC.M.I8.12A0.F33201.N.4.Z01.E.Z,SEC.M.I8.12A0.F33202.N.4.Z01.E.Z,SEC.M.I8.1300.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33000.N.4.Z01.E.S,SEC.M.I8.130D.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33100.N.4.Z01.E.Z,SEC.M.I8.130D.F33200.N.4.Z01.E.S,SEC.M.I8.130D.F33200.N.4.Z01.E.Z,SEC.M.I8.1311.F33000.N.4.Z01.E.S,SEC.M.I8.1311.F33000.N.4.Z01.E.Z,SEC.M.I8.1311.F33200.N.4.Z01.E.S,SEC.M.I8.1311.F33200.N.4.Z01.E.Z
,"World (all entities), Total economy, Securities other than shares, excluding financial derivatives, Euro, Unspecified","World (all entities), Total economy, Long-term securities other than shares, Euro, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Securities other than shares, excluding financial derivatives, Euro, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Securities other than shares, excluding financial derivatives, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Securities other than shares, excluding financial derivatives, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Securities other than shares, excluding financial derivatives, Non-Euro and non-euro area currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Short-term securities other than shares, Euro, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Short-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Short-term securities other than shares, Non-Euro and non-euro area currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term securities other than shares, Euro, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term securities other than shares, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term securities other than shares, Non-Euro and non-euro area currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term / Fixed rate issues, Euro, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term / Fixed rate issues, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term / Fixed rate issues, Non-Euro and non-euro area currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term / Floating rate issues, Euro, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term / Floating rate issues, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Total economy, Long-term / Floating rate issues, Non-Euro and non-euro area currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-financial corporations (ESA 95 classification), Securities other than shares, excluding financial derivatives, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Non-financial corporations (ESA 95 classification), Securities other than shares, excluding financial derivatives, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-financial corporations (ESA 95 classification), Short-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-financial corporations (ESA 95 classification), Long-term securities other than shares, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Non-financial corporations (ESA 95 classification), Long-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-financial corporations (ESA 95 classification), Long-term / Fixed rate issues, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-financial corporations (ESA 95 classification), Long-term / Floating rate issues, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-MFI financial institutions, Securities other than shares, excluding financial derivatives, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Non-MFI financial institutions, Securities other than shares, excluding financial derivatives, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-MFI financial institutions, Short-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-MFI financial institutions, Long-term securities other than shares, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Non-MFI financial institutions, Long-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-MFI financial institutions, Long-term / Fixed rate issues, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Non-MFI financial institutions, Long-term / Floating rate issues, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, MFIs, Securities other than shares, excluding financial derivatives, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, MFIs, Securities other than shares, excluding financial derivatives, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, MFIs, Short-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, MFIs, Long-term securities other than shares, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, MFIs, Long-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, MFIs, Long-term / Fixed rate issues, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, MFIs, Long-term / Floating rate issues, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, General government, Securities other than shares, excluding financial derivatives, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, General government, except central government, Securities other than shares, excluding financial derivatives, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, General government, except central government, Securities other than shares, excluding financial derivatives, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, General government, except central government, Short-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, General government, except central government, Long-term securities other than shares, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, General government, except central government, Long-term securities other than shares, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Central government, Securities other than shares, excluding financial derivatives, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Central government, Securities other than shares, excluding financial derivatives, All currencies combined, Unspecified","Euro area 19 (fixed composition) as of 1 January 2015, Central government, Long-term securities other than shares, All currencies combined, Seasonally adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Central government, Long-term securities other than shares, All currencies combined, Unspecified"
Collection:,Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro]
2019Sep,,,41862.957,60158.000,78202.384,36339.427,-16172.310,21530.149,37702.459,58035.267,42263.000,56672.235,-1363.032,64130.122,55536.674,-8593.448,-9121.983,-7387.504,1734.480,8215.000,10451.873,-6788.074,9431.000,17239.947,15902.177,-35.400,29702.000,38084.804,7285.483,26607.000,30799.321,23126.351,1919.498,20371.000,18426.177,3774.106,20937.000,14652.071,12944.352,4580.786,11239.529,1084.000,-3091.397,2422.231,-5180.000,-5513.628,786.000,14330.926,-9531.000,-505.476
2019Aug,,,34513.813,71687.000,31617.477,-2896.336,20269.663,28557.008,8287.345,14244.150,47762.000,3060.469,-11183.682,21051.771,11951.359,-9100.412,-8888.659,-11618.642,-2729.983,8710.000,-725.060,2897.242,3251.000,-3622.302,-2121.706,-1567.989,28657.000,5280.311,7827.991,24672.000,-2547.680,2758.220,-6764.421,-2064.000,2193.521,10837.488,-11379.000,-8643.967,-5957.913,-2782.882,24868.705,4477.000,8506.901,6155.840,1546.000,2351.061,31907.000,16361.804,29671.000,15523.357
2019Jul,,,39619.374,81255.000,60953.004,21333.631,13773.013,24152.046,10379.033,25846.360,62415.000,36800.958,10954.598,38484.157,45735.936,7251.779,-23503.988,-24872.177,-1368.189,7144.000,16171.906,10000.461,4236.000,6171.445,6144.169,231.616,-3264.000,15524.386,-858.205,-2839.000,16382.591,19373.952,-8293.040,40203.000,36375.690,19031.376,25253.000,17344.314,23421.988,-6222.533,-7118.979,5354.000,3344.898,601.750,2656.000,2743.148,31818.000,-10463.877,33109.000,-5840.541
2019Jun,105756.329,102477.806,58139.510,70907.000,57193.606,-945.904,-15880.175,-18052.872,-2172.697,74019.685,64645.000,75246.478,1226.794,57677.176,62390.061,4712.884,6946.078,4068.193,-2877.885,12276.000,-2715.414,-14515.901,13290.000,11800.487,10053.124,1500.911,32340.000,28478.306,7498.819,23738.000,20979.487,19140.485,3037.154,9093.000,-8052.578,-14880.457,7899.000,6827.879,8116.288,-897.823,39483.292,-4288.000,-4704.811,-2768.900,-2762.000,-1935.911,21487.000,44188.103,22480.000,37574.536
2019May,65970.104,64499.478,62774.563,25073.000,83967.454,21192.891,3068.183,25302.782,22234.599,59706.380,3445.000,58664.672,-1041.708,55430.248,57033.755,1603.507,3118.151,-1665.814,-4783.965,3096.000,5342.154,6289.825,420.000,-947.671,-1908.727,1440.816,14674.000,24886.124,6074.835,6721.000,18811.290,18458.753,-1485.324,20354.000,28469.029,12455.361,9635.000,16013.668,18985.453,-4619.795,25270.147,-4568.000,-8555.103,-2595.685,-4162.000,-5959.418,-8483.000,33825.250,-9169.000,30746.804
2019Apr,-7749.890,10563.519,-7797.601,-4205.000,-34247.636,-26450.035,2286.944,-12966.173,-15253.117,-10084.545,8720.000,-21281.464,-11196.919,-13429.342,-27834.843,-14405.501,-18188.351,-19440.860,-1252.509,6108.000,16063.043,10137.011,4977.000,5926.033,5098.489,1000.380,-28208.000,-26625.220,-10686.359,-18337.000,-15938.860,-12904.118,-10142.338,-1621.000,-8388.533,-2011.125,-3428.000,-6377.408,7563.744,-13556.132,-15296.927,9001.000,6524.850,6442.800,2866.000,82.050,10516.000,-21821.777,22642.000,-4973.278
2019Mar,73178.410,39580.998,45134.475,31625.000,82817.049,37682.574,15478.509,50244.986,34766.477,29655.966,4615.000,32572.064,2916.097,26734.282,31307.952,4573.670,-2061.496,-5765.279,-3703.783,3817.000,14636.997,3448.981,2398.000,11188.016,11947.941,-783.800,23552.000,22613.480,9103.828,17746.000,13509.651,8965.034,978.681,22788.000,19054.506,21739.732,2061.000,-2685.226,6286.450,-7750.254,26512.067,2890.000,8626.049,180.075,5708.000,8445.974,-21422.000,17886.018,-23298.000,2113.648
